Dates,USDZAR Curncy,ZAR1W Curncy,USDZARV1W Curncy,USDZAR25R1W Curncy,USDZAR25B1W Curncy,USDZAR10R1W Curncy,USDZAR10B1W Curncy,USOSFR1Z Curncy
2/16/2024,18.8852,110,10.785,0.75,0.21,1.345,0.79,5.3078
2/9/2024,19.0413,111,12.22,0.9975,0.2175,1.805,0.7675,5.312
2/2/2024,18.9029,109,12.46,1.12,0.22,1.955,0.735,5.312
1/26/2024,18.7806,111,13.065,1.145,0.225,2.055,0.77,5.3208
1/19/2024,19.0203,110,12.0175,1.105,0.2325,1.975,0.8125,5.3145
1/12/2024,18.6536,106,11.31,0.91,0.225,1.645,0.785,5.321
1/5/2024,18.6807,106,14.545,1.095,0.27,1.945,0.915,5.3266
12/29/2023,18.3005,105,13.855,0.9675,0.2475,1.72,0.88,5.3405
12/22/2023,18.5063,119,11.925,0.875,0.255,1.64,0.915,5.3575
12/15/2023,18.3057,129,15.385,1.2575,0.2875,2.11,0.94,5.3454
12/8/2023,18.9548,117,15.3925,1.385,0.305,2.435,1.03,5.3255
12/1/2023,18.6413,111,14.3975,1.3925,0.285,2.485,1,5.3215
11/24/2023,18.7727,102,13.645,1.5125,0.2875,2.625,1,5.3155
11/17/2023,18.3442,99,12.8625,1.335,0.28,2.4,0.9525,5.3148
11/10/2023,18.7261,97,13.475,1.555,0.295,2.83,1.035,5.31
11/3/2023,18.2642,103,13.5625,1.615,0.2975,2.9225,1.0175,5.311
10/27/2023,18.8449,109,15.0775,1.7775,0.355,3.255,1.25,5.3066
10/20/2023,18.998,105,14.615,1.7725,0.3425,3.19,1.215,5.3025
10/13/2023,19.0054,108,13.8775,1.6,0.365,2.985,1.2625,5.3042
10/6/2023,19.3094,106,14.7175,1.7725,0.3725,3.3125,1.295,5.3097
9/29/2023,18.9224,111,13.8775,1.625,0.38,3.1,1.3075,5.31
9/22/2023,18.7571,114,13.16,1.6475,0.35,3.06,1.2225,5.3093
9/15/2023,18.9742,109,15.2175,1.6975,0.38,3.205,1.3125,5.3147
9/8/2023,19.1258,113,15.47,1.685,0.4,3.205,1.3675,5.3012
9/1/2023,18.8456,115,13.7475,1.6025,0.3375,2.975,1.1625,5.3052
