date,security,PX_OPEN,PX_LAST,PX_HIGH,PX_LOW
2000-01-03,EUR CMP Curncy,1.0073,1.0243,1.0285,1.0052
2000-01-03,CAD CMP Curncy,1.4477,1.4468,1.4477,1.4411
2000-01-03,CHF CMP Curncy,1.5935,1.567,1.5976,1.5618
2000-01-03,JPY CMP Curncy,102.14,101.45,102.17,101.4
2000-01-03,NZD CMP Curncy,0.5245,0.525,0.5277,0.521
2000-01-03,GBP CMP Curncy,1.6147,1.6362,1.6396,1.6145
2000-01-03,AUD CMP Curncy,0.6564,0.6585,0.6614,0.656
2000-01-04,NZD CMP Curncy,0.5249,0.5194,0.5268,0.5192
2000-01-04,EUR CMP Curncy,1.0244,1.0296,1.0341,1.0217
2000-01-04,CAD CMP Curncy,1.4477,1.4528,1.455,1.4452
2000-01-04,AUD CMP Curncy,0.6585,0.655,0.6595,0.6542
2000-01-04,GBP CMP Curncy,1.6358,1.636,1.6413,1.6316
2000-01-04,JPY CMP Curncy,101.7,103.22,103.3,101.46
2000-01-04,CHF CMP Curncy,1.5672,1.5573,1.5694,1.5522
2000-01-05,GBP CMP Curncy,1.6373,1.6426,1.6451,1.6352
2000-01-05,NZD CMP Curncy,0.5193,0.5202,0.5209,0.5173
2000-01-05,CAD CMP Curncy,1.4528,1.45,1.4559,1.4484
2000-01-05,AUD CMP Curncy,0.6548,0.6579,0.6597,0.6536
2000-01-05,CHF CMP Curncy,1.5575,1.5486,1.5594,1.5429
2000-01-05,JPY CMP Curncy,103.17,104.14,104.4,102.81
2000-01-05,EUR CMP Curncy,1.03,1.0321,1.0403,1.0285
2000-01-06,CHF CMP Curncy,1.5532,1.5532,1.5611,1.5431
2000-01-06,JPY CMP Curncy,104.15,105.23,105.58,103.98
2000-01-06,CAD CMP Curncy,1.4497,1.4599,1.4603,1.4494
2000-01-06,GBP CMP Curncy,1.6419,1.6474,1.6509,1.6412
2000-01-06,NZD CMP Curncy,0.5199,0.5146,0.5205,0.5134
2000-01-06,EUR CMP Curncy,1.0325,1.0328,1.0414,1.028
2000-01-06,AUD CMP Curncy,0.6575,0.6533,0.659,0.6523
2000-01-07,JPY CMP Curncy,105.24,105.34,105.92,104.98
2000-01-07,AUD CMP Curncy,0.6535,0.6549,0.6559,0.6525
2000-01-07,NZD CMP Curncy,0.5148,0.5175,0.5185,0.5133
2000-01-07,CHF CMP Curncy,1.5535,1.5646,1.5667,1.5521
2000-01-07,CAD CMP Curncy,1.4604,1.4558,1.4616,1.4543
2000-01-07,GBP CMP Curncy,1.6477,1.6393,1.6498,1.6361
2000-01-07,EUR CMP Curncy,1.0329,1.0295,1.0334,1.0255
2000-01-10,EUR CMP Curncy,1.0287,1.0256,1.0302,1.0213
2000-01-10,AUD CMP Curncy,0.6548,0.6561,0.657,0.6541
2000-01-10,CAD CMP Curncy,1.4568,1.4558,1.4586,1.4532
2000-01-10,CHF CMP Curncy,1.5643,1.5694,1.575,1.562
2000-01-10,NZD CMP Curncy,0.5164,0.5158,0.5177,0.5144
2000-01-10,GBP CMP Curncy,1.6388,1.6374,1.64,1.6335
2000-01-10,JPY CMP Curncy,105.17,105.16,105.4,104.34
