date,EURUSD CMP Curncy,EURSN CMP Curncy,EURUSDV1M CMP Curncy,EURUSD25B1M CMP Curncy,EURUSD25R1M CMP Curncy,USDJPY CMP Curncy,JPYSN CMP Curncy,USDJPYV1M CMP Curncy,USDJPY25B1M CMP Curncy,USDJPY25R1M CMP Curncy,GBPUSD CMP Curncy,GBPSN CMP Curncy,GBPUSDV1M CMP Curncy,GBPUSD25B1M CMP Curncy,GBPUSD25R1M CMP Curncy,USDCAD CMP Curncy,CADSN CMP Curncy,USDCADV1M CMP Curncy,USDCAD25B1M CMP Curncy,USDCAD25R1M CMP Curncy,AUDUSD CMP Curncy,AUDSN CMP Curncy,AUDUSDV1M CMP Curncy,AUDUSD25B1M CMP Curncy,AUDUSD25R1M CMP Curncy,NZDUSD CMP Curncy,NZDSN CMP Curncy,NZDUSDV1M CMP Curncy,NZDUSD25B1M CMP Curncy,NZDUSD25R1M CMP Curncy,USDCHF CMP Curncy,CHFSN CMP Curncy,USDCHFV1M CMP Curncy,USDCHF25R1M CMP Curncy,USDCHF25B1M CMP Curncy
2000-01-03,1.0243,0.745,11.95,,,101.45,-1.52,14.25,,,1.6362,0.4,7.85,,,1.4468,,,,,0.6585,0.125,10.3,,,0.525,0.12,12.4,,,1.567,-2.005,,,
2000-01-04,1.0296,2.155,13.0,,,103.22,-4.655,12.4,,,1.636,0.925,7.85,,,1.4528,-0.325,5.9,,,0.655,0.145,9.75,,,0.5194,0.445,11.425,,,1.5573,-2.05,13.15,,
2000-01-05,1.0321,0.775,12.45,,,104.14,-3.965,12.2,,,1.6426,0.3,7.95,,,1.45,-0.315,6.2,,,0.6579,0.24,9.5,,,0.5202,0.17,11.2,,,1.5486,-4.035,12.7,,
2000-01-06,1.0328,0.775,11.88,,,105.23,-1.61,13.05,,,1.6474,0.405,7.9,,,1.4599,-0.95,6.15,,,0.6533,0.115,9.1,,,0.5146,0.1,11.0,,,1.5532,-2.0,11.85,,
2000-01-07,1.0295,0.755,11.38,,,105.34,-1.615,12.35,,,1.6393,0.435,7.95,,,1.4558,,6.05,,,0.6549,0.15,9.1,,,0.5175,0.11,11.05,,,1.5646,-1.93,11.5,,
2000-01-10,1.0256,0.77,11.15,,,105.16,-1.625,12.5,,,1.6374,0.545,7.95,,,1.4558,,5.9,,,0.6561,0.125,9.0,,,0.5158,0.15,10.85,,,1.5694,-2.005,11.25,,
2000-01-11,1.0336,0.75,11.15,,,105.95,-1.6,11.85,,,1.6475,0.375,7.4,,,1.4571,-0.395,,,,0.6578,0.475,9.0,,,0.518,0.115,9.6,,,1.5583,-2.095,11.05,,
2000-01-12,1.0309,2.9,11.125,,,105.79,-1.635,11.7,,,1.6466,0.115,7.65,,,1.454,-1.475,5.45,,,0.6587,0.14,9.05,,,0.5193,0.1,10.45,,,1.5624,-5.25,11.15,,
2000-01-13,1.0258,0.75,10.45,,,106.17,-1.655,11.85,,,1.6472,0.105,7.3,,,1.4507,-0.405,5.6,,,0.6679,0.14,9.7,,,0.5234,0.105,10.45,,,1.5714,-2.04,10.75,,
2000-01-14,1.0122,0.775,10.4,,,105.87,-1.67,11.25,,,1.6313,0.11,7.05,,,1.4499,-0.37,5.35,,,0.6657,0.16,9.3,,,0.5213,0.105,10.8,,,1.5945,-1.915,10.4,,
2000-01-17,1.0122,0.74,10.9,,,104.9,-1.635,12.2,,,1.6333,0.04,7.2,,,1.4495,-0.375,,,,0.6642,0.135,9.0,,,0.5195,0.1,10.1,,,1.5958,-1.94,10.95,,
2000-01-18,1.0137,2.17,10.9,,,105.67,-4.875,11.4,,,1.6379,0.25,7.25,,,1.4505,,5.65,,,0.6654,0.195,9.0,,,0.5168,0.32,10.4,,,1.5914,-1.885,10.9,,
2000-01-19,1.0133,0.755,10.8,,,105.32,-4.81,11.5,,,1.645,-0.375,7.15,,,1.452,-1.05,,,,0.6638,0.315,9.05,,,0.5147,0.09,10.45,,,1.5929,-3.75,11.0,,
2000-01-20,1.0168,0.725,10.75,,,105.47,-1.61,11.0,,,1.6537,-0.055,6.95,,,1.4467,-0.635,5.65,,,0.6658,0.27,9.0,,,0.5148,0.045,10.1,,,1.5845,-1.835,10.75,,
2000-01-21,1.0098,0.71,10.775,,,104.78,-1.605,11.5,,,1.6487,-0.175,7.25,,,1.4415,-0.305,5.45,,,0.6629,0.15,8.75,,,0.5115,0.04,10.0,,,1.5962,-1.79,10.85,,
2000-01-24,1.0072,0.695,10.9,,,105.57,-1.625,10.7,,,1.6531,-0.155,7.25,,,1.4438,-0.365,5.85,,,0.6543,0.135,9.15,,,0.5063,0.08,10.4,,,1.5998,-1.78,11.05,,
2000-01-25,1.0009,0.695,10.5,,,106.04,-1.62,10.625,,,1.6452,-0.185,7.2,,,1.4363,,5.9,,,0.6554,0.265,9.075,,,0.5082,0.035,10.05,,,1.611,-1.785,10.85,,
2000-01-26,1.0019,0.695,10.5,,,105.66,-1.605,10.55,,,1.6403,-0.13,7.175,,,1.4395,-0.85,6.0,,,0.6523,0.295,9.05,,,0.5079,0.055,10.15,,,1.6099,-1.69,10.65,,
2000-01-27,0.9882,0.685,10.95,,,105.12,-1.645,10.6,,,1.6396,-0.115,7.35,,,1.4348,-0.605,6.15,,,0.6541,0.125,9.1,,,0.5044,0.035,10.0,,,1.6327,-1.525,10.95,,
2000-01-28,0.9747,0.675,11.55,,,107.13,-1.66,10.95,,,1.6201,-0.15,7.45,,,1.4464,,,,,0.635,0.185,10.75,,,0.492,0.055,11.45,,,1.6509,-1.715,10.75,,
2000-01-31,0.9707,0.675,12.9,,,107.32,-1.7,11.0,,,1.6162,-0.13,7.7,,,1.4479,-0.405,6.4,,,0.637,0.145,10.8,,,0.4969,0.06,11.6,,,1.6576,-1.625,12.3,,
2000-02-01,0.9711,2.1,12.7,,,107.85,-5.24,11.7,,,1.615,-0.17,8.1,,,1.4486,-0.385,,,,0.6324,0.325,11.0,,,0.4937,0.185,11.8,,,1.657,-1.75,12.75,,
2000-02-02,0.9765,2.09,12.9,,,108.16,-5.205,12.05,,,1.6088,0.065,8.4,,,1.4365,-1.0,6.5,,,0.6389,0.065,10.5,,,0.4967,0.125,11.2,,,1.6501,-3.525,12.9,,
2000-02-03,0.9894,0.685,12.6,,,107.56,-1.72,11.8,,,1.5972,0.05,8.4,,,1.4419,-0.295,6.15,,,0.6348,0.07,10.4,,,0.4946,0.09,12.2,,,1.6235,-1.68,12.7,,
2000-02-04,0.9832,0.68,12.45,,,107.19,-1.7,11.1,,,1.5918,0.005,8.75,,,1.4408,-0.275,5.75,,,0.638,0.05,10.65,,,0.4965,0.055,11.65,,,1.6349,-1.75,12.55,,
2000-02-07,0.9815,0.685,12.35,,,108.62,-1.705,11.6,,,1.598,0.125,8.475,,,1.4486,,5.8,,,0.6337,0.04,10.6,,,0.494,0.065,12.2,,,1.6379,-1.695,12.6,,
2000-02-08,0.9855,1.388,12.4,,,109.47,-4.3,12.175,,,1.6113,-0.075,8.5,,,1.4442,,6.1,,,0.6317,0.075,11.0,,,0.4915,0.105,11.7,,,1.6317,-1.68,12.5,,
2000-02-09,0.9942,0.705,12.775,,,108.79,-1.735,12.3,,,1.6169,-0.455,8.65,,,1.444,-0.56,5.9,,,0.6362,0.055,11.05,,,0.4939,0.045,12.35,,,1.6187,-1.7,12.8,,
2000-02-10,0.9854,0.693,12.56,,,109.27,-1.71,11.1,,,1.6097,-0.135,8.425,,,1.4483,-0.55,6.3,,,0.6265,0.055,11.1,,,0.4892,0.065,12.3,,,1.6302,-1.7,12.6,,
2000-02-11,0.9875,0.65,11.6,,,108.82,-1.715,11.05,,,1.5936,-0.125,8.35,,,1.4503,,6.15,,,0.6305,0.06,10.925,,,0.491,,11.85,,,1.6252,-1.69,11.6,,
2000-02-14,0.9783,0.705,12.0,,,108.96,-1.72,11.4,,,1.588,-0.125,8.6,,,1.4571,-0.345,6.1,,,0.6263,0.12,10.9,,,0.486,,11.725,,,1.6447,-1.675,11.9,,
2000-02-15,0.9815,2.66,11.9,,,109.22,-1.7,10.9,,,1.596,-0.09,8.625,,,1.4561,,,,,0.6305,0.12,11.1,,,0.4879,0.03,12.0,,,1.637,-1.575,11.95,,
2000-02-16,0.9863,2.715,12.0,,,109.44,-1.7,11.5,,,1.6077,-0.45,8.45,,,1.4527,-1.2,6.15,,,0.6319,0.17,10.5,,,0.4927,0.125,12.0,,,1.6263,-6.2,12.05,,
2000-02-17,0.9878,0.715,11.92,,,110.56,-1.735,11.75,,,1.609,-0.075,8.4,,,1.4507,-0.715,6.15,,,0.6323,0.08,10.45,,,0.4943,0.035,12.0,,,1.6246,-1.63,12.05,,
2000-02-18,0.9839,0.725,11.66,,,111.09,-1.755,11.65,,,1.6013,-0.055,8.15,,,1.4509,-0.315,,,,0.6293,0.055,10.45,,,0.4913,0.05,12.5,,,1.6294,-1.715,11.75,,
2000-02-21,0.9877,0.71,11.5,,,111.26,-1.75,11.6,,,1.6005,-0.085,8.0,,,1.4556,-0.325,6.0,,,0.6258,0.075,10.7,,,0.4874,0.05,12.6,,,1.6237,-1.81,11.5,,
2000-02-22,1.0038,0.693,12.25,,,110.69,-1.74,11.75,,,1.6126,-0.085,8.1,,,1.462,,6.6,,,0.6221,0.085,11.0,,,0.4898,0.065,12.65,,,1.6022,-1.81,12.2,,
2000-02-23,1.0036,0.685,11.6,,,111.07,-1.71,12.05,,,1.6039,-0.055,8.05,,,1.4602,-0.95,6.5,,,0.6216,0.07,11.7,,,0.4893,0.05,13.225,,,1.6056,-1.82,11.8,,
2000-02-24,0.992,0.67,11.95,,,111.37,-1.715,11.95,,,1.6003,-0.085,8.1,,,1.4536,-0.615,6.5,,,0.6155,0.065,11.55,,,0.4875,0.05,12.9,,,1.6211,-1.85,12.05,,
2000-02-25,0.9749,0.69,12.625,,,110.29,-1.05,12.25,,,1.5953,-0.125,8.175,,,1.4475,-0.35,6.25,,,0.6151,0.065,11.5,,,0.4877,0.07,12.75,,,1.6491,-1.525,12.45,,
2000-02-28,0.9709,0.67,15.55,,,109.45,-1.71,12.9,,,1.5958,-0.095,9.0,,,1.4519,-0.34,6.5,,,0.6148,0.075,12.3,,,0.4866,0.045,13.05,,,1.6546,-1.76,15.5,,
2000-02-29,0.9642,1.99,15.7,,,110.33,-5.17,12.75,,,1.5792,-0.195,9.65,,,1.4497,,6.55,,,0.6178,0.225,11.6,,,0.4892,0.065,13.0,,,1.6653,-1.73,15.85,,
2000-03-01,0.9727,0.665,14.9,,,107.28,-1.725,13.8,,,1.5854,-0.185,9.15,,,1.4497,,6.5,,,0.6057,0.085,12.4,,,0.4872,0.1,13.7,,,1.6514,-3.83,15.0,,
2000-03-02,0.9656,0.67,14.95,,,107.74,-1.715,13.6,,,1.5766,-0.065,9.125,,,1.457,-0.325,6.95,,,0.6063,0.085,12.35,,,0.4873,0.12,13.925,,,1.6648,-2.0,14.9,,
2000-03-03,0.9586,0.673,14.7,,,107.9,-1.71,12.8,,,1.5778,-0.07,9.025,,,1.4504,,6.75,,,0.6084,0.075,12.2,,,0.4884,,14.0,,,1.6768,-2.12,14.7,,
2000-03-06,0.9586,0.675,15.1,,,107.54,-1.715,12.75,,,1.5749,-0.025,9.3,,,1.4534,-0.375,6.7,,,0.6019,0.095,12.8,,,0.483,,14.025,,,1.6773,-2.22,14.9,,
2000-03-07,0.9584,1.98,15.2,,,106.12,-5.075,13.3,,,1.5804,-0.1,9.2,,,1.4553,-0.35,6.65,,,0.6051,0.12,12.525,,,0.4845,0.065,14.1,,,1.6764,-2.22,15.1,,
2000-03-08,0.961,0.64,15.1,,,107.17,-5.09,12.5,,,1.5817,-0.085,9.15,,,1.456,-0.335,6.75,,,0.6095,0.19,12.1,,,0.4884,0.17,13.4,,,1.6717,0.08,15.0,,
2000-03-09,0.9669,0.61,14.6,,,106.53,-1.7,12.65,,,1.5827,-0.025,8.7,,,1.4574,-0.975,6.4,,,0.6148,0.075,11.2,,,0.4935,0.065,12.925,,,1.6624,-1.985,14.5,,
2000-03-10,0.9637,0.6,13.9,,,106.35,-1.7,12.15,,,1.5765,-0.135,8.4,,,1.4574,-0.345,6.3,,,0.6151,0.065,11.2,,,0.4938,0.045,13.3,,,1.6701,-1.875,13.9,,
2000-03-13,0.9642,0.62,14.25,,,105.52,-1.7,12.95,,,1.5792,0.075,8.6,,,1.4616,-0.355,6.4,,,0.6163,0.055,11.3,,,0.4933,0.065,13.05,,,1.6721,-1.875,14.25,,
2000-03-14,0.9686,1.245,13.98,,,105.12,-5.025,13.8,,,1.5776,0.115,8.5,,,1.4651,-0.39,6.0,,,0.6148,0.075,11.1,,,0.4882,,13.3,,,1.6641,-1.845,13.95,,
2000-03-15,0.9669,0.62,13.85,,,105.69,-1.68,13.55,,,1.5732,0.14,8.45,,,1.4672,-1.025,5.95,,,0.6135,0.14,11.15,,,0.4892,0.02,13.0,,,1.6682,-1.92,13.85,,
2000-03-16,0.9696,0.615,13.9,,,105.37,-1.735,14.2,,,1.5771,0.135,8.475,,,1.4735,-0.625,,,,0.6113,0.075,11.25,,,0.4887,,12.825,,,1.6625,-1.885,13.65,,
2000-03-17,0.9721,0.695,13.15,,,106.73,-1.7,13.85,,,1.5748,0.035,7.65,,,1.4692,-0.33,6.05,,,0.6067,0.09,11.45,,,0.4846,0.02,12.75,,,1.6576,-2.1,13.4,,
2000-03-20,0.9728,0.725,13.25,,,106.3,-1.745,13.8,,,1.5689,0.085,7.8,,,1.4691,,5.8,,,0.6077,0.145,11.55,,,0.4868,,13.3,,,1.6568,-2.12,12.95,,
2000-03-21,0.9615,0.705,12.65,,,106.78,-1.785,13.2,,,1.5717,0.03,7.8,,,1.4696,-0.395,5.75,,,0.6099,0.28,11.3,,,0.4894,0.055,13.3,,,1.6761,-2.245,12.55,,
2000-03-22,0.961,0.66,12.7,,,107.11,-1.755,13.1,,,1.5795,0.02,8.0,,,1.4705,-0.675,,,,0.6044,0.27,11.65,,,0.4867,0.055,12.825,,,1.6744,-6.105,12.55,,
2000-03-23,0.9715,0.673,12.15,,,107.24,-1.78,12.65,,,1.5867,0.1,7.7,,,1.4691,-0.59,5.55,,,0.6058,0.125,11.0,,,0.4877,0.05,12.4,,,1.6463,-1.75,12.05,,
2000-03-24,0.9779,0.69,12.25,,,106.87,-1.775,12.45,,,1.5941,0.1,7.8,,,1.4633,-0.305,5.4,,,0.6086,0.11,10.8,,,0.4893,,12.25,,,1.6232,-1.69,12.1,,
2000-03-27,0.9672,1.99,12.175,,,106.79,-1.765,12.725,,,1.5882,0.095,7.9,,,1.4578,-0.315,5.2,,,0.6128,0.1,10.5,,,0.501,0.045,12.05,,,1.6425,-1.665,12.45,,
2000-03-28,0.9605,0.68,12.225,,,105.84,-5.28,13.5,,,1.5893,0.235,8.025,,,1.4537,-0.325,,,,0.6164,0.3,10.45,,,0.505,0.175,12.9,,,1.6561,-1.56,12.3,,
2000-03-29,0.9514,2.015,12.775,,,105.69,-5.44,14.0,,,1.5936,0.45,8.1,,,1.4558,-1.2,5.45,,,0.6105,0.275,10.6,,,0.4995,0.125,12.8,,,1.6756,-4.11,13.05,,
2000-03-30,0.9613,0.69,12.3,,,105.57,-1.795,13.95,,,1.5948,0.095,7.85,,,1.4545,-0.75,5.3,,,0.6134,,10.4,,,0.5013,0.065,12.6,,,1.6567,-1.665,12.7,,
2000-03-31,0.9555,0.678,12.45,,,102.78,-1.745,17.95,,,1.5911,0.105,7.95,,,1.4488,-0.35,5.25,,,0.6071,0.1,10.8,,,0.4965,0.07,12.25,,,1.6653,-1.66,12.45,,
2000-04-03,0.9553,0.675,12.525,,,104.9,-1.765,16.4,,,1.5964,0.155,8.075,,,1.4507,0.39,5.2,,,0.6086,0.095,10.9,,,0.5014,,12.15,,,1.6548,-1.61,12.5,,
2000-04-04,0.9596,0.67,12.95,,,105.16,-1.78,15.25,,,1.5932,0.075,8.05,,,1.4525,,,,,0.6047,0.05,11.8,,,0.5008,0.06,12.25,,,1.6423,-1.645,12.45,,
2000-04-05,0.9625,0.685,13.65,,,104.88,-5.245,14.2,,,1.5847,-0.05,8.4,,,1.4503,-0.85,5.2,,,0.6061,0.135,11.5,,,0.5032,0.12,12.35,,,1.6359,-4.96,13.95,,
2000-04-06,0.9584,0.66,12.5,,,104.77,-1.755,13.95,,,1.5815,0.125,7.85,,,1.4528,,5.3,,,0.6014,0.045,11.85,,,0.5013,0.06,11.75,,,1.6394,-1.725,12.85,,
2000-04-07,0.9553,0.663,12.2,,,105.37,-1.75,13.325,,,1.5795,0.065,7.7,,,1.4583,,5.2,,,0.5986,0.05,12.0,,,0.5002,,12.25,,,1.6437,-1.68,12.5,,
2000-04-10,0.9627,0.663,12.15,,,106.44,-1.77,13.125,,,1.5855,-0.01,7.3,,,1.4625,-0.9,5.2,,,0.5953,0.07,11.7,,,0.4964,0.065,12.05,,,1.6339,-1.64,12.25,,
2000-04-11,0.9592,0.645,12.275,,,106.92,-1.79,12.95,,,1.5856,-0.005,7.3,,,1.4635,,5.35,,,0.5958,0.075,11.85,,,0.4988,0.07,12.1,,,1.6411,-1.57,12.55,,
2000-04-12,0.959,1.87,12.475,,,105.78,-1.74,13.725,,,1.5886,0.07,7.425,,,1.4627,,5.3,,,0.5981,0.245,11.4,,,0.4977,0.12,11.5,,,1.6524,-4.805,12.65,,
2000-04-13,0.9524,0.67,12.2,,,105.88,-1.8,13.35,,,1.5866,0.175,7.2,,,1.4724,-0.36,5.3,,,0.5983,0.07,10.9,,,0.4984,0.055,11.05,,,1.6497,-1.61,12.55,,
2000-04-14,0.9622,0.665,12.75,,,104.74,-1.77,14.25,,,1.5868,0.175,7.2,,,1.4768,,5.5,,,0.5976,0.075,10.6,,,0.4983,0.065,10.75,,,1.6331,-1.585,12.4,,
2000-04-17,0.9527,0.645,13.0,,,104.54,-1.74,15.175,,,1.5805,0.13,7.1,,,1.485,-0.335,5.75,,,0.5909,0.07,12.0,,,0.494,0.05,11.15,,,1.6488,-1.605,13.25,,
2000-04-18,0.9453,2.995,12.65,,,104.74,-1.74,13.925,,,1.5771,1.2,7.05,,,1.4812,-0.335,5.8,,,0.5948,0.335,11.225,,,0.4955,0.159,11.45,,,1.6659,-4.676,12.95,,
2000-04-19,0.9402,0.6,13.0,,,104.82,-5.15,13.45,,,1.582,0.11,6.85,,,1.4763,-1.415,5.4,,,0.5957,0.045,10.7,,,0.4979,0.057,11.25,,,1.6697,-1.52,13.25,,
2000-04-20,0.9374,0.605,12.88,,,105.77,-1.745,13.0,,,1.5793,0.1,6.625,,,1.4742,,,,,0.5924,0.056,10.5,,,0.4938,0.035,10.85,,,1.6773,-1.515,12.95,,
2000-04-21,0.9385,0.61,12.75,,,105.77,-1.76,12.9,,,1.5795,-0.25,7.05,,,1.4726,,,,,0.5944,0.055,10.575,,,0.4939,,,,,1.6753,-1.515,12.95,,
2000-04-24,0.938,0.55,13.0,,,105.78,-1.755,13.325,,,1.5785,0.25,6.45,,,1.477,,,,,0.5946,0.055,10.65,,,0.495,,,,,1.6762,-1.51,12.75,,
2000-04-25,0.9208,1.755,13.8,,,106.31,-1.76,13.45,,,1.5812,0.005,6.9,,,1.4677,,5.4,,,0.5935,0.04,10.8,,,0.4945,,,,,1.7075,-1.54,13.75,,
2000-04-26,0.9235,2.375,13.6,,,106.27,-5.325,12.75,,,1.5756,0.265,6.75,,,1.4747,-0.295,5.45,,,0.5882,0.1,11.2,,,0.4869,-0.007,11.95,,,1.7029,-3.666,13.7,,
2000-04-27,0.9099,0.575,14.45,,,106.43,-1.77,12.5,,,1.572,0.045,7.1,,,1.4766,,5.55,,,0.5872,0.225,11.2,,,0.4867,0.005,11.8,,,1.7272,-1.575,14.2,,
2000-04-28,0.9119,0.57,13.8,,,108.18,-1.788,12.4,,,1.5513,0.045,8.1,,,1.4798,-0.315,5.6,,,0.5839,0.06,11.5,,,0.4853,-0.015,11.55,,,1.7157,-1.5,13.9,,
2000-05-01,0.9158,0.57,13.85,,,108.76,-1.84,12.45,,,1.5536,0.125,8.125,,,1.479,,,,,0.5827,0.095,11.025,,,0.4874,0.016,11.65,,,1.7086,-1.49,13.75,,
2000-05-02,0.91,0.55,13.5,,,108.41,-1.83,11.8,,,1.5604,0.045,8.1,,,1.4827,,5.75,,,0.5845,0.045,11.75,,,0.4848,0.048,11.75,,,1.7117,-1.525,13.75,,
2000-05-03,0.8948,0.54,14.5,,,109.02,-1.83,11.95,,,1.5611,0.04,8.55,,,1.4936,,5.9,,,0.5923,0.115,11.9,,,0.491,,12.1,,,1.7248,-3.24,14.6,,
2000-05-04,0.8895,0.515,14.95,,,108.03,-1.805,12.35,,,1.5412,0.04,9.175,,,1.4953,,6.3,,,0.5912,0.045,12.0,,,0.4907,0.02,11.7,,,1.7404,-1.755,14.75,,
2000-05-05,0.897,0.51,15.55,,,108.56,-1.805,12.45,,,1.5303,0.04,9.75,,,1.4901,,6.15,,,0.5965,0.04,12.2,,,0.4922,,12.25,,,1.7322,-1.88,15.15,,
2000-05-08,0.8977,0.513,14.9,,,109.0,-1.81,12.5,,,1.5332,0.085,9.4,,,1.4919,,6.1,,,0.5813,0.005,12.65,,,0.4824,,12.55,,,1.7264,-1.93,14.7,,
2000-05-09,0.9075,0.533,14.55,,,109.19,-1.825,12.6,,,1.5311,0.085,9.25,,,1.4913,,6.05,,,0.5856,0.005,13.4,,,0.4819,,12.1,,,1.7149,-1.89,14.1,,
2000-05-10,0.9068,1.66,15.0,,,109.53,-5.485,12.625,,,1.5118,0.275,9.75,,,1.4927,-0.295,5.95,,,0.5807,0.03,12.8,,,0.4761,,13.0,,,1.7105,-3.565,14.55,,
2000-05-11,0.9016,0.59,14.35,,,108.52,-1.87,13.05,,,1.5035,0.095,10.9,,,1.4881,-0.9,5.9,,,0.581,0.035,13.0,,,0.4791,0.03,13.35,,,1.7268,-1.86,13.8,,
2000-05-12,0.9197,0.64,14.1,,,108.47,-1.92,12.6,,,1.5202,0.115,10.6,,,1.4856,-0.345,5.55,,,0.5811,0.065,12.6,,,0.4798,,13.0,,,1.691,-2.07,13.65,,
2000-05-15,0.9112,0.66,14.2,,,109.3,-1.99,12.45,,,1.5054,0.18,10.7,,,1.4864,-0.425,5.6,,,0.5713,0.095,13.3,,,0.471,,13.05,,,1.7072,-2.12,14.1,,
2000-05-16,0.9003,0.643,14.175,,,109.66,-1.99,12.45,,,1.4932,0.19,11.3,,,1.4844,-0.435,,,,0.5767,0.125,13.2,,,0.4725,,13.65,,,1.7209,-2.1,14.05,,
2000-05-17,0.8959,1.83,14.35,,,109.32,-5.915,12.4,,,1.4968,0.715,11.3,,,1.4971,-0.325,5.95,,,0.5688,0.305,13.8,,,0.4626,0.055,14.55,,,1.734,-1.9,13.95,,
2000-05-18,0.8946,1.62,13.475,,,108.65,-1.955,12.5,,,1.4835,0.195,11.3,,,1.499,-0.725,6.5,,,0.5714,0.11,13.575,,,0.452,0.035,16.05,,,1.738,-2.245,13.2,,
2000-05-19,0.8975,0.668,13.8,,,106.98,-1.94,12.95,,,1.487,0.225,10.75,,,1.4967,,6.05,,,0.5742,0.1,13.625,,,0.4569,,16.05,,,1.7299,-2.005,13.5,,
2000-05-22,0.9031,0.63,14.2,,,107.14,-1.94,12.8,,,1.4925,0.195,10.3,,,1.4972,-0.305,5.95,,,0.5716,0.1,13.6,,,0.4578,,16.05,,,1.7215,-2.22,13.9,,
2000-05-23,0.9071,0.625,14.4,,,106.42,-1.93,12.825,,,1.4769,0.165,10.6,,,1.5064,-0.295,,,,0.5745,0.1,12.775,,,0.4594,,13.0,,,1.7211,-2.14,14.0,,
2000-05-24,0.9044,2.47,14.45,,,107.8,-7.71,12.6,,,1.4753,1.04,10.7,,,1.5091,-0.285,6.45,,,0.571,0.325,13.55,,,0.4534,0.015,16.55,,,1.724,-8.455,13.7,,
2000-05-25,0.9115,0.625,13.95,,,107.35,-1.945,12.025,,,1.4702,0.245,10.775,,,1.5028,-1.15,6.5,,,0.5685,0.1,13.6,,,0.4531,,15.6,,,1.7143,-2.1,13.5,,
2000-05-26,0.9309,0.653,15.05,,,107.15,-1.975,12.15,,,1.49,0.245,10.35,,,1.5031,,,,,0.5736,0.06,13.375,,,0.459,0.03,15.5,,,1.6836,-2.08,13.65,,
2000-05-29,0.9266,0.665,15.15,,,107.04,-1.965,12.4,,,1.4925,0.25,10.35,,,1.499,-0.295,,,,0.5724,0.075,12.975,,,0.4574,0.035,15.3,,,1.6922,-3.76,14.55,,
2000-05-30,0.9301,0.67,14.8,,,106.55,-1.965,12.75,,,1.4966,0.23,10.4,,,1.5055,-0.335,6.3,,,0.5752,0.105,13.2,,,0.4592,,15.0,,,1.6883,-5.82,14.0,,
2000-05-31,0.938,0.665,14.4,,,107.66,-1.985,12.4,,,1.5014,0.75,10.225,,,1.4966,,6.25,,,0.5725,0.3,13.475,,,0.4577,0.075,15.3,,,1.68,-1.86,13.65,,
2000-06-01,0.9312,0.635,13.825,,,108.52,-1.99,11.75,,,1.4944,0.245,9.8,,,1.4908,,6.0,,,0.5721,0.1,12.9,,,0.4571,0.045,15.1,,,1.6871,-1.85,13.35,,
2000-06-02,0.9463,0.635,14.55,,,108.03,-1.98,12.0,,,1.5098,0.235,9.85,,,1.4772,,5.95,,,0.5798,0.085,12.8,,,0.4651,0.035,14.9,,,1.6632,-1.79,13.25,,
2000-06-05,0.9479,0.633,13.85,,,107.33,-1.97,12.35,,,1.5196,0.265,9.4,,,1.4791,,,,,0.582,0.085,12.925,,,0.4683,0.035,14.325,,,1.6614,-1.745,13.35,,
2000-06-06,0.9548,0.643,14.45,,,105.8,-1.935,13.325,,,1.5284,0.28,9.8,,,1.4774,,,,,0.5887,0.085,13.475,,,0.4713,,15.35,,,1.6456,-1.745,13.7,,
2000-06-07,0.9622,1.96,14.4,,,105.32,-5.755,13.5,,,1.5224,0.675,9.5,,,1.4785,,,,,0.5937,0.185,13.5,,,0.4742,0.045,15.4,,,1.63,-1.65,13.85,,
2000-06-08,0.956,0.61,14.1,,,105.84,-1.93,13.1,,,1.5108,0.13,9.7,,,1.4769,-0.59,,,,0.5887,0.075,13.1,,,0.4688,,,,,1.6407,-1.76,13.75,,
2000-06-09,0.9536,0.6,13.5,,,106.91,-1.945,12.3,,,1.5096,0.22,9.6,,,1.4747,-0.315,5.55,,,0.5881,0.07,12.6,,,0.4687,0.035,,,,1.6417,-1.785,13.2,,
2000-06-12,0.9538,0.598,13.925,,,106.85,-1.965,12.1,,,1.5131,0.24,9.75,,,1.4764,,5.5,,,0.5918,,12.8,,,0.4713,,,,,1.6375,-1.795,13.3,,
2000-06-13,0.9596,0.618,13.8,,,106.93,-1.98,12.05,,,1.5068,0.26,9.75,,,1.4682,-0.335,,,,0.5963,0.105,12.95,,,0.4724,0.035,15.0,,,1.6286,-1.75,13.6,,
2000-06-14,0.9579,1.825,13.1,,,106.63,-1.955,11.375,,,1.499,0.825,9.95,,,1.4677,-0.375,5.45,,,0.5995,0.29,13.3,,,0.4741,0.05,15.25,,,1.6343,-1.8,13.15,,
2000-06-15,0.9547,0.605,12.275,,,106.46,-1.94,11.25,,,1.5121,0.25,9.75,,,1.4754,,5.6,,,0.6028,0.09,12.5,,,0.4705,,14.8,,,1.6356,-1.72,12.0,,
