date,MOVE Index,VIX Index,CVIX1I Index
2000-01-03,102.95,24.21,
2000-01-04,101.3,27.01,11.41187
2000-01-05,106.69,26.41,11.14392
2000-01-06,105.21,25.73,10.67336
2000-01-07,97.81,21.72,10.46883
2000-01-10,97.13,21.71,10.31306
2000-01-11,101.03,22.5,10.21562
2000-01-12,104.11,22.84,10.08614
2000-01-13,100.44,21.71,10.04383
2000-01-14,94.61,19.66,9.64827
2000-01-17,94.61,,10.20086
2000-01-18,95.91,21.5,10.07843
2000-01-19,96.67,21.72,10.06496
2000-01-20,95.25,21.75,9.70471
2000-01-21,96.6,20.82,9.85213
2000-01-24,94.16,24.07,9.79125
2000-01-25,96.28,23.02,9.728435
2000-01-26,95.45,23.03,9.52394
2000-01-27,95.03,23.54,9.82075
2000-01-28,102.58,26.14,9.819525
2000-01-31,106.26,24.95,10.44773
2000-02-01,104.72,23.45,10.93873
2000-02-02,109.22,23.12,11.24833
2000-02-03,119.13,22.01,11.52907
2000-02-04,118.86,21.54,11.07327
2000-02-07,120.42,22.79,11.03866
2000-02-08,112.84,21.25,11.25851
2000-02-09,109.04,22.9,11.38672
2000-02-10,106.33,23.07,11.05085
2000-02-11,106.07,24.42,10.68481
2000-02-14,102.76,24.38,10.77135
2000-02-15,104.86,22.92,10.74572
2000-02-16,104.31,23.51,10.79698
2000-02-17,100.77,23.17,10.85851
2000-02-18,101.13,26.0,10.61687
2000-02-21,101.13,,10.61687
2000-02-22,106.35,25.86,10.93869
2000-02-23,106.18,23.89,10.79315
2000-02-24,111.35,24.38,10.86946
2000-02-25,111.68,25.2,10.99514
2000-02-28,108.61,24.68,12.99388
2000-02-29,106.64,23.37,13.04136
2000-03-01,104.14,21.64,12.81185
2000-03-02,99.68,21.06,12.96893
2000-03-03,94.85,19.21,12.75099
2000-03-06,92.06,21.5,12.85098
2000-03-07,97.13,24.31,12.77282
2000-03-08,103.67,23.82,12.58819
2000-03-09,103.49,22.21,12.32794
2000-03-10,100.52,21.24,11.99459
2000-03-13,101.36,22.85,12.2798
2000-03-14,104.39,24.41,12.22342
2000-03-15,105.54,22.34,12.11444
2000-03-16,103.72,20.77,12.2676
2000-03-17,101.67,22.37,11.77721
2000-03-20,97.1,22.96,11.83426
2000-03-21,95.1,21.7,11.4586
2000-03-22,93.95,21.49,11.58426
2000-03-23,101.83,22.26,11.03104
2000-03-24,102.31,23.31,10.98744
2000-03-27,101.49,24.53,11.12521
2000-03-28,104.08,24.86,11.231
2000-03-29,106.47,24.1,11.83613
2000-03-30,109.42,25.47,11.59062
2000-03-31,106.45,24.11,12.51488
2000-04-03,102.95,24.03,12.20593
2000-04-04,110.61,27.12,11.65337
2000-04-05,114.76,28.41,12.2893
2000-04-06,109.66,27.15,11.60019
2000-04-07,106.93,24.39,11.4508
2000-04-10,103.57,25.99,11.14437
2000-04-11,108.52,27.25,11.28284
2000-04-12,111.73,28.98,11.45912
2000-04-13,109.46,29.4,11.35658
2000-04-14,123.75,33.49,11.18093
2000-04-17,120.51,28.95,12.36229
2000-04-18,114.7,26.12,11.87516
2000-04-19,107.49,27.02,11.41429
2000-04-20,104.44,25.85,11.29891
2000-04-21,104.44,,
2000-04-24,103.99,27.37,
2000-04-25,108.67,25.24,11.69637
2000-04-26,110.51,26.97,11.8265
2000-04-27,106.22,26.19,11.94189
2000-04-28,103.83,26.2,12.04513
2000-05-01,103.12,25.88,
2000-05-02,102.55,28.5,11.67972
2000-05-03,112.98,31.63,12.40024
2000-05-04,110.82,30.77,12.57141
2000-05-05,108.99,27.53,12.9278
2000-05-08,110.73,28.2,12.80343
