date,GTEUR2Y Govt,GTGBP2Y Govt,GTAUD2Y Govt,GT2 Govt,GTNZD2Y Govt,GTCAD2Y Govt,GTJPY2Y Govt,GTCHF2Y Govt
2000-01-03,4.336,6.296,6.393,6.384,6.634,6.005,,
2000-01-04,4.338,6.5505,6.375,6.299,6.635,6.056,0.322,
2000-01-05,4.344,6.5701,6.465,6.358,6.75,6.135,0.298,
2000-01-06,4.352,6.5635,6.403,6.299,6.765,6.075,0.301,
2000-01-07,4.246,6.5099,6.425,6.308,6.806,6.077,0.333,
2000-01-10,4.23,6.4578,6.525,6.359,6.81,6.085,,
2000-01-11,4.316,6.5238,6.63,6.428,6.845,6.142,0.346,
2000-01-12,4.314,6.5415,6.59,6.472,6.885,6.163,0.396,
2000-01-13,4.286,6.4994,6.47,6.394,6.88,6.108,0.362,
2000-01-14,4.291,6.5063,6.56,6.43,6.874,6.141,0.345,
2000-01-17,4.294,6.5612,6.575,6.43,6.925,6.141,0.355,
2000-01-18,4.321,6.6125,6.63,6.465,6.96,6.191,0.349,
2000-01-19,4.278,6.5714,6.54,6.448,6.99,6.211,0.347,
2000-01-20,4.285,6.5922,6.84,6.492,6.97,6.227,0.36,
2000-01-21,4.291,6.5716,6.565,6.458,6.998,6.187,0.343,
2000-01-24,4.305,6.5591,6.565,6.406,6.97,6.088,0.313,
2000-01-25,4.27,6.5212,6.563,6.432,6.94,6.096,0.293,
2000-01-26,4.313,6.485,6.565,6.442,6.96,6.081,0.288,
2000-01-27,4.41,6.5572,6.82,6.506,6.91,6.175,0.291,
2000-01-28,4.401,6.568,6.47,6.557,6.974,6.226,0.283,
2000-01-31,4.385,6.5331,6.505,6.591,7.035,6.272,0.333,
2000-02-01,4.326,6.467,6.45,6.574,7.02,6.231,0.364,
2000-02-02,4.351,6.4418,6.62,6.592,7.12,6.225,0.394,
2000-02-03,4.345,6.4292,6.605,6.523,7.125,6.191,0.38,
