Date,Coupon,Principal
6/23/2011,0,0
12/22/2011,3918.056,0
6/21/2012,3918.056,0
12/20/2012,3918.056,0
6/20/2013,3918.056,0
12/19/2013,3918.056,0
6/19/2014,3918.056,0
12/18/2014,3918.056,0
6/18/2015,3918.056,0
12/17/2015,3918.056,0
6/16/2016,3918.056,0
12/15/2016,3918.056,0
6/15/2017,3918.056,0
12/14/2017,3918.056,0
6/14/2018,3918.056,0
12/13/2018,3918.056,0
6/13/2019,3918.056,0
12/11/2019,3896.528,0
6/11/2020,3939.583,0
12/10/2020,3918.056,0
6/10/2021,3918.056,0
12/9/2021,3918.056,0
6/9/2022,3918.056,0
12/8/2022,3918.056,0
6/8/2023,3918.056,0
12/7/2023,3918.056,0
6/6/2024,3918.056,0
12/5/2024,3918.056,0
6/5/2025,3918.056,0
12/4/2025,3918.056,0
6/4/2026,3918.056,0
12/3/2026,3918.056,0
6/3/2027,3918.056,0
12/2/2027,3918.056,0
6/1/2028,3918.056,0
11/30/2028,3918.056,0
5/31/2029,3918.056,0
11/29/2029,3918.056,0
5/30/2030,3918.056,0
11/28/2030,3918.056,0
5/29/2031,3918.056,100000
